Diâmetro Altura do Peito (m),Altura da Primeira Ramificação (m),Altura da Árvore (m),Diâmetro da Copa (m),Ângulo (°),Presença de Interferência - Tronco,Presença de Fendas - Tronco,Porcentagem da Área (%) com Deterioração - Colo,Raio/PS média - Colo,Porcentagem da área do oco aberto (%) - Tronco,Raio/PS média - Tronco,Árvore Morta,Probabilidade de ruptura,Fungo - Tipo de Ataque,Fungo - Corpo de Frutificação,Cupim-Subterrâneo - Tipo de Ataque,Cupim-Madeira-Seca - Tipo de Ataque,Cupim-de-Solo - Tipo de Ataque,Presença Broca,Código Árvore,Espécie,Risco de Queda,Levantamento do Pavimento,Área Permeável Insuficiente,Presença de Interferência - Raiz,Injúria Mecânica - Raiz,Raiz Exposta - Raiz,Raiz Cortada - Raiz,Raiz Dobrada/Enovelada - Raiz,Injúria Mecânica - Colo,Colo Soterrado - Colo,Injúria Mecânica - Tronco,Casca Inclusa - Tronco,Protuberância - Tronco,Injúria Mecânica - Copa,Epífitas - Copa,Copa Desequilibrada,Largura da Copa (m),Altura da Copa (m),Ângulo (rad),Excentricidade (m),Formato da Copa,Densidade
0.299,4.023,12.875,8.345,7.152,0.0,0.0,0.0,1.0,0.0,1.0,0.0,95.99,0.0,0.0,0.0,0.0,0.0,0.0,119890-13,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8.345,8.852,0.12482594810263445,1.6155336326508036,1.0,1.12
0.23199999999999998,5.078,13.747,9.514,2.6060000000000003,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,3.0,0.0,3.0,0.0,0.0,0.0,119890-14,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.514,8.669,0.04548328030697223,0.6256901749890873,1.0,1.12
0.439,3.949,13.052999999999999,10.404000000000002,2.6889999999999996,0.0,0.0,25.373,2.015,0.0,1.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,172405-46,Caesalpinia ferrea var. leiostachya ,GRANDE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.404000000000002,9.104,0.04693190358612751,0.613052307351381,1.0,1.12
0.512,4.945,15.997,11.26,2.136,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.0,177911-32,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.26,11.052,0.03728023282259888,0.5966483204900016,1.0,1.12
0.226,3.483,7.528,3.8680000000000003,2.3369999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,015814-127,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3.8680000000000003,4.045,0.04078834461910748,0.30722505284523743,1.0,1.12
0.385,3.141,12.312000000000001,7.534,2.133,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,015814-110,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.534,9.171000000000001,0.03722787294503905,0.4585614335919165,1.0,1.12
0.337,1.851,7.537000000000001,6.728,1.6669999999999998,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015814-107,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,6.728,5.686000000000001,0.02909463863074547,0.21934818745345327,1.0,1.12
0.19399999999999998,3.802,8.292,4.183,4.522,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.81,0.0,0.0,0.0,0.0,0.0,0.0,015814-97,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.183,4.49,0.07892378877518359,0.6557982703373585,1.0,1.12
0.21,2.656,6.7029999999999985,1.68,1.629,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015814-170,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.68,4.046999999999999,0.028431413514987628,0.19062713173954984,3.0,1.12
0.532,2.421,14.488,10.887,7.773,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,015814-160,Caesalpinia ferrea var. leiostachya ,GRANDE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.887,12.067,0.13566444275751924,1.9776541631286513,1.0,1.12
0.293,3.3480000000000003,7.879,3.5589999999999997,6.376,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015814-98,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3.5589999999999997,4.530999999999999,0.11128219310715846,0.8804297371640168,1.0,1.12
0.36,5.332999999999998,14.450999999999999,6.096,2.952,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,015814-131,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.096,9.118,0.05152211951887261,0.7452056558464313,3.0,1.12
0.433,2.717,12.964,9.077,4.338,0.0,0.0,20.548000000000002,1.829,0.0,1.0,0.0,8.83,0.0,0.0,0.0,0.0,0.0,0.0,015814-159,Caesalpinia ferrea var. leiostachya ,MÉDIO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.077,10.247,0.07571238295151402,0.9834151492592641,1.0,1.12
0.188,5.143,7.329,0.883,2.577,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015814-168,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.883,2.186,0.04497713482389387,0.32985988033511815,1.0,1.12
0.799,1.022,14.785,12.96,5.829,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015814-137,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.96,13.763,0.10173524209874947,1.5093664954010033,1.0,1.12
0.14,3.515,4.824,1.253,3.173,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015814-171,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.253,1.3089999999999997,0.05537929716578008,0.26742316916395675,1.0,1.12
0.618,2.4290000000000003,14.684000000000001,10.612,12.192,0.0,0.0,30.467,2.2319999999999998,0.0,1.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,015814-145,Caesalpinia ferrea var. leiostachya ,GRANDE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,10.612,12.255,0.21279054240314865,3.1726471258911184,1.0,1.12
